SeqID	ctrl_1	6hpi_1	1dpi_1	3dpi_1	1wpi_1	2wpi_1	3wpi_1	4wpi_1	5wpi_1	6wpi_1	12wpi_1
5S_rRNA|ENSPMAT00000011654	0.176	0.000	0.832	2.179	2.140	0.382	0.353	0.553	0.000	0.701	0.958
5S_rRNA|ENSPMAT00000011655	0.382	1.521	0.275	0.990	0.000	0.232	0.546	0.325	1.685	0.284	0.976
5S_rRNA|ENSPMAT00000011658	0.000	1.584	0.286	1.009	0.523	0.460	0.777	0.663	0.567	1.158	5.007
5S_rRNA|ENSPMAT00000011659	0.560	6.447	0.866	2.412	1.051	0.701	1.325	1.807	1.144	1.168	3.519
5S_rRNA|ENSPMAT00000011660	0.162	0.000	0.000	0.000	1.884	0.000	0.353	0.000	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011661	0.257	3.422	0.000	0.353	0.269	0.353	0.550	0.167	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011664	0.822	0.380	0.364	0.238	0.041	0.183	0.270	0.176	0.474	0.176	0.744
5S_rRNA|ENSPMAT00000011666	1.519	8.059	2.310	3.101	1.576	1.051	0.883	0.657	1.716	3.794	4.525
5S_rRNA|ENSPMAT00000011667	1.726	3.193	0.858	2.059	1.313	0.575	1.771	2.634	3.971	2.328	5.558
5S_rRNA|ENSPMAT00000011671	0.480	1.612	2.310	2.067	0.525	0.467	0.221	0.328	2.288	1.751	7.038
5S_rRNA|ENSPMAT00000011673	0.885	0.000	0.937	0.439	0.000	0.000	1.471	0.256	1.927	0.735	0.000
5S_rRNA|ENSPMAT00000011674	1.016	0.000	1.256	1.860	1.369	0.633	2.834	1.001	0.564	3.998	1.813
5S_rRNA|ENSPMAT00000011680	0.233	0.000	0.000	0.000	0.000	0.000	0.111	0.000	0.567	0.579	0.000
5S_rRNA|ENSPMAT00000011684	0.989	3.364	0.864	0.704	0.529	0.471	0.544	0.503	1.200	1.217	1.019
5S_rRNA|ENSPMAT00000011685	3.531	9.578	6.004	5.833	4.989	2.645	2.546	5.103	13.615	5.529	12.632
5S_rRNA|ENSPMAT00000011687	0.137	2.714	0.216	0.542	0.541	0.251	0.117	0.000	0.000	0.566	0.000
5S_rRNA|ENSPMAT00000011689	0.235	0.000	0.000	0.343	0.525	0.115	0.332	0.823	0.000	0.291	1.011
5S_rRNA|ENSPMAT00000011690	0.157	0.000	0.000	0.686	0.263	0.000	0.111	0.329	0.567	0.291	3.537
5S_rRNA|ENSPMAT00000011691	0.242	0.000	0.865	2.075	0.263	0.466	0.654	0.164	2.309	0.000	0.506
5S_rRNA|ENSPMAT00000011694	0.322	1.625	0.288	0.000	0.263	0.000	0.436	0.492	0.577	0.000	0.000
5S_rRNA|ENSPMAT00000011698	0.242	0.000	0.865	0.000	0.000	0.000	0.436	0.000	0.000	0.297	0.000
5S_rRNA|ENSPMAT00000011705	2.544	0.713	0.859	0.000	0.402	0.119	1.857	0.324	1.642	0.563	0.661
5S_rRNA|ENSPMAT00000011710	0.406	0.000	0.291	0.000	0.000	0.000	0.000	0.166	0.000	0.599	1.023
5S_rRNA|ENSPMAT00000011716	2.738	12.996	4.323	6.570	1.577	1.749	1.961	1.969	6.349	3.560	11.139
5S_rRNA|ENSPMAT00000011717	1.002	1.565	0.281	1.678	1.112	1.273	1.878	0.493	2.820	0.863	0.999
5S_rRNA|ENSPMAT00000011719	0.000	0.000	0.000	0.000	0.000	0.000	0.457	0.083	2.043	0.000	0.000
5S_rRNA|ENSPMAT00000011720	0.311	0.000	0.857	1.751	0.000	0.115	0.444	0.331	1.135	1.737	1.773
5S_rRNA|ENSPMAT00000011722	1.825	0.000	3.047	3.799	2.308	1.270	1.802	1.309	6.082	2.080	2.274
5S_rRNA|ENSPMAT00000011728	0.655	2.900	0.763	4.894	3.171	1.407	1.673	1.604	6.029	1.679	7.686
5S_rRNA|ENSPMAT00000011734	0.350	1.815	1.148	2.165	1.444	1.326	1.802	1.212	1.298	3.324	2.960
5S_rRNA|ENSPMAT00000011736	7.144	4.374	2.477	0.261	1.315	0.000	6.224	2.736	4.613	0.000	0.994
5S_rRNA|ENSPMAT00000011738	0.570	3.332	0.000	0.702	0.265	0.352	0.325	0.335	0.596	0.000	1.530
5S_rRNA|ENSPMAT00000011745	0.081	0.000	0.291	0.000	0.000	0.000	0.108	0.497	0.581	0.300	0.000
5S_rRNA|ENSPMAT00000011746	0.327	0.000	0.000	0.380	0.165	0.127	0.164	0.000	0.000	0.341	0.000
5S_rRNA|ENSPMAT00000011748	0.000	0.000	0.289	0.000	0.000	0.117	0.221	0.328	0.572	0.000	0.000
5S_rRNA|ENSPMAT00000011751	0.320	3.223	0.578	0.689	0.000	0.234	0.331	1.478	1.716	0.000	2.011
5S_rRNA|ENSPMAT00000011753	0.602	0.000	0.271	0.115	0.094	0.000	0.324	0.000	0.106	0.156	0.000
5S_rRNA|ENSPMAT00000011755	0.080	0.000	1.155	0.345	0.000	0.117	0.221	0.164	1.144	1.751	1.508
5S_rRNA|ENSPMAT00000011756	0.000	0.000	3.202	0.000	0.263	0.000	0.324	0.000	0.581	4.795	0.512
5S_rRNA|ENSPMAT00000011758	0.622	3.168	1.142	2.691	0.785	0.345	0.888	0.166	1.135	1.158	3.505
5S_rRNA|ENSPMAT00000011760	0.400	1.612	0.289	0.345	0.000	0.000	0.118	0.164	0.572	1.459	1.508
5S_rRNA|ENSPMAT00000011762	2.669	0.000	0.306	0.424	0.000	0.000	0.152	0.180	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011765	2.119	6.385	2.859	4.804	2.363	1.610	2.435	2.634	5.673	5.529	11.621
5S_rRNA|ENSPMAT00000011769	0.108	0.717	0.000	0.000	0.000	0.000	0.281	0.000	0.000	0.000	0.447
5S_rRNA|ENSPMAT00000011770	0.879	4.835	1.155	3.445	0.263	0.350	0.773	0.328	1.716	0.000	3.519
5S_rRNA|ENSPMAT00000011771	2.073	0.000	4.340	1.053	0.000	0.000	1.835	0.178	0.635	0.000	0.000
5S_rRNA|ENSPMAT00000011773	0.886	0.000	0.288	1.729	0.526	0.233	1.090	0.328	0.577	1.187	3.038
5S_rRNA|ENSPMAT00000011775	0.311	0.000	0.571	1.682	0.523	0.690	0.444	0.331	1.135	1.448	2.503
5S_rRNA|ENSPMAT00000011778	0.547	0.000	0.000	0.104	0.000	0.000	0.277	0.000	0.359	0.000	0.000
5S_rRNA|ENSPMAT00000011780	0.080	1.612	0.289	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.503
5S_rRNA|ENSPMAT00000011787	0.471	0.000	0.572	0.686	1.313	0.460	0.553	1.317	2.836	0.000	3.032
5S_rRNA|ENSPMAT00000011788	0.000	0.000	0.396	0.000	0.000	0.000	0.773	0.222	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011789	0.386	0.000	0.000	0.336	0.522	0.347	0.442	0.164	1.128	0.288	1.498
5S_rRNA|ENSPMAT00000011796	0.160	1.612	2.599	1.034	0.263	0.817	1.656	0.493	3.432	2.627	3.519
5S_rRNA|ENSPMAT00000011799	1.002	1.565	0.281	2.685	0.261	0.232	0.663	0.000	3.949	0.000	0.999
5S_rRNA|ENSPMAT00000011800	0.406	3.275	0.582	2.782	0.790	0.583	0.432	0.497	0.581	0.300	0.512
5S_rRNA|ENSPMAT00000011812	8.557	66.630	15.698	120.478	51.390	24.646	11.050	32.039	57.247	30.195	77.501
5S_rRNA|ENSPMAT00000011813	18.140	51.576	18.193	103.703	69.097	29.311	11.134	25.457	58.343	33.274	99.540
5S_rRNA|ENSPMAT00000011820	0.235	0.000	0.227	0.173	0.256	0.067	0.208	0.092	0.111	0.000	0.149
5S_rRNA|ENSPMAT00000011821	2.364	1.477	3.924	0.000	0.000	0.000	0.804	0.479	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011823	0.314	0.000	0.572	1.373	2.626	0.345	0.553	1.317	1.135	0.582	2.021
5S_rRNA|ENSPMAT00000011830	0.000	1.612	0.289	0.000	1.576	0.117	0.662	0.000	0.000	0.876	0.503
5S_rRNA|ENSPMAT00000011831	6.954	9.670	7.797	9.647	11.035	5.372	5.077	6.734	21.164	11.091	27.650
5S_rRNA|ENSPMAT00000011832	0.156	0.000	0.571	0.673	1.046	0.575	0.222	0.497	0.000	1.158	0.000
5S_rRNA|ENSPMAT00000011834	1.279	8.059	3.177	2.067	2.365	1.985	2.208	3.942	2.860	3.211	9.049
5S_rRNA|ENSPMAT00000011835	0.160	0.000	0.289	0.000	0.263	0.000	0.442	0.000	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011836	0.326	3.332	0.581	3.512	1.060	0.822	0.758	0.503	0.596	0.000	3.569
5S_rRNA|ENSPMAT00000011839	2.082	0.000	1.967	3.357	1.304	1.158	1.989	0.822	2.256	3.166	9.990
5S_rRNA|ENSPMAT00000011840	0.448	0.000	0.000	0.000	0.000	0.000	0.272	0.946	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011846	1.449	0.000	0.288	0.000	0.000	0.000	0.218	0.000	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011848	0.320	0.000	0.000	0.345	0.000	0.000	0.221	0.657	0.000	0.000	0.503
5S_rRNA|ENSPMAT00000011852	2.437	1.637	3.493	3.825	1.317	0.933	1.188	0.829	3.485	7.192	18.930
5S_rRNA|ENSPMAT00000011857	2.770	6.163	1.658	5.699	2.621	0.929	3.525	2.592	2.799	2.579	10.409
5S_rRNA|ENSPMAT00000011865	0.314	1.596	1.144	1.029	0.525	0.115	0.332	0.658	0.567	0.873	1.516
5S_rRNA|ENSPMAT00000011871	2.031	3.275	1.164	4.521	3.092	1.865	2.808	2.155	7.550	0.899	9.721
5S_rRNA|ENSPMAT00000011872	0.539	0.000	0.276	0.000	0.000	0.232	0.000	0.000	1.119	0.000	0.000
5S_rRNA|ENSPMAT00000011873	0.602	0.000	0.271	0.115	0.094	0.000	0.324	0.000	0.106	0.156	0.000
5S_rRNA|ENSPMAT00000011876	0.790	0.000	2.797	2.916	5.658	1.758	1.051	0.905	4.036	5.116	1.929
5S_rRNA|ENSPMAT00000011880	0.564	0.000	0.576	0.000	0.000	0.350	0.436	0.164	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011881	0.517	1.772	0.509	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.061
5S_rRNA|ENSPMAT00000011882	0.495	0.000	0.000	0.000	0.000	0.000	0.109	0.336	1.200	0.000	0.510
5S_rRNA|ENSPMAT00000011889	0.314	3.193	0.000	0.000	0.000	0.000	0.332	0.000	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011892	0.016	0.000	0.585	0.000	0.000	0.000	0.193	0.000	0.000	0.340	0.000
5S_rRNA|ENSPMAT00000011894	0.085	0.000	0.302	0.000	0.000	0.234	0.579	0.000	0.585	0.591	0.000
5S_rRNA|ENSPMAT00000011896	1.199	3.223	1.733	3.445	1.576	0.350	1.214	2.628	1.144	3.211	5.027
5S_rRNA|ENSPMAT00000011900	4.156	14.506	4.332	18.260	7.619	2.686	4.194	5.256	17.732	11.675	36.699
5S_rRNA|ENSPMAT00000011903	0.822	0.380	0.364	0.238	0.041	0.183	0.270	0.176	0.474	0.176	0.744
5S_rRNA|ENSPMAT00000011904	0.078	0.000	0.000	0.000	0.263	0.230	0.000	0.165	0.567	0.000	0.000
5S_rRNA|ENSPMAT00000011905	0.080	0.000	0.289	0.345	0.525	0.117	0.773	0.328	0.572	0.292	0.000
5S_rRNA|ENSPMAT00000011908	2.776	7.825	3.373	10.405	3.651	1.852	3.204	2.958	2.820	6.619	5.494
5S_rRNA|ENSPMAT00000011910	0.729	0.000	0.000	0.791	0.000	0.000	0.391	0.000	0.000	0.441	0.000
5S_rRNA|ENSPMAT00000011913	1.944	11.088	1.428	3.700	3.139	1.035	1.442	2.153	2.269	2.895	6.509
5S_rRNA|ENSPMAT00000011914	0.652	3.332	1.454	0.702	0.265	0.939	0.867	0.168	0.596	2.093	1.530
5S_rRNA|ENSPMAT00000011918	0.570	9.995	0.581	0.702	0.795	0.822	0.433	0.839	1.193	0.299	3.059
5S_rRNA|ENSPMAT00000011919	0.608	0.000	0.191	0.000	0.000	0.000	0.000	0.000	0.320	0.000	0.549
5S_rRNA|ENSPMAT00000011926	0.630	0.000	0.204	0.000	0.000	0.000	0.375	0.053	0.206	0.000	0.000
5S_rRNA|ENSPMAT00000011928	0.233	0.000	0.286	0.673	0.262	0.230	0.555	0.000	0.000	0.869	0.501
5S_rRNA|ENSPMAT00000011931	0.412	0.000	0.000	0.000	0.000	0.000	0.312	0.000	0.643	0.000	0.084
5S_rRNA|ENSPMAT00000011936	1.288	4.873	0.288	0.000	0.526	0.117	0.327	0.164	0.000	0.000	2.025
5S_rRNA|ENSPMAT00000011937	0.403	1.625	0.288	1.383	0.526	0.466	0.763	0.328	1.732	0.297	2.532
5S_rRNA|ENSPMAT00000011940	0.137	1.357	0.216	0.271	0.271	0.251	0.117	0.000	1.121	0.000	1.152
5S_rRNA|ENSPMAT00000011944	0.081	0.000	0.000	0.351	0.000	0.000	0.000	0.000	0.596	0.000	0.000
5S_rRNA|ENSPMAT00000011947	0.320	1.612	1.444	0.689	0.525	0.350	0.331	0.164	2.860	1.168	2.514
5S_rRNA|ENSPMAT00000011950	0.463	0.000	0.000	0.000	0.000	0.000	0.110	0.164	0.000	0.576	0.000
5S_rRNA|ENSPMAT00000011951	0.459	0.000	1.101	1.649	1.049	0.463	0.546	0.812	2.247	1.706	1.951
5S_rRNA|ENSPMAT00000011961	0.081	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.599	0.512
5S_rRNA|ENSPMAT00000011968	0.400	0.000	0.289	1.034	0.525	0.000	0.000	0.328	1.716	0.292	0.503
5S_rRNA|ENSPMAT00000011972	0.483	8.122	0.576	0.692	0.000	0.233	0.654	0.492	0.000	0.297	0.506
5S_rRNA|ENSPMAT00000011975	0.602	0.000	0.271	0.115	0.094	0.000	0.324	0.000	0.106	0.156	0.000
5S_rRNA|ENSPMAT00000011976	0.430	1.797	0.000	0.000	0.000	0.000	0.148	0.000	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011979	0.220	1.596	0.000	0.000	0.000	0.000	0.141	0.000	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000011981	0.544	0.000	0.286	1.682	0.523	0.115	0.444	0.166	0.567	0.579	2.003
5S_rRNA|ENSPMAT00000011994	0.311	4.752	0.000	4.037	0.523	0.690	1.220	1.491	1.135	0.290	1.502
5S_rRNA|ENSPMAT00000011995	0.320	0.000	0.578	0.689	0.263	0.467	0.773	0.164	2.288	0.000	3.016
5S_rRNA|ENSPMAT00000012002	0.288	0.000	0.549	0.058	0.000	0.000	0.348	0.033	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000012003	0.156	0.000	0.000	0.000	0.000	0.230	0.444	0.000	0.567	0.290	1.001
5S_rRNA|ENSPMAT00000012005	0.000	0.000	0.000	0.000	0.360	0.000	0.291	0.000	0.000	0.470	0.000
5S_rRNA|ENSPMAT00000012009	29.512	113.232	22.928	69.910	53.272	28.036	53.143	31.158	80.017	52.575	105.141
5S_rRNA|ENSPMAT00000012014	0.240	0.000	0.578	0.345	0.788	0.000	0.442	0.000	0.000	0.584	1.508
5S_rRNA|ENSPMAT00000012019	0.080	3.223	0.289	0.000	0.000	0.000	0.442	0.985	0.572	2.043	0.503
5S_rRNA|ENSPMAT00000012020	0.731	0.000	0.873	1.739	1.317	0.466	0.756	0.995	1.162	1.199	1.023
5S_rRNA|ENSPMAT00000012021	0.510	0.000	1.526	2.141	0.529	0.469	1.450	0.481	1.096	1.119	0.452
5S_rRNA|ENSPMAT00000012024	1.439	9.670	1.155	5.168	1.576	0.934	1.545	1.314	3.432	4.086	9.049
5S_rRNA|ENSPMAT00000012026	0.440	0.000	0.000	0.000	0.000	0.000	0.000	0.217	0.679	0.000	0.000
5S_rRNA|ENSPMAT00000012027	0.471	0.000	0.286	0.343	0.263	0.345	0.000	0.165	1.702	0.291	0.505
5S_rRNA|ENSPMAT00000012030	0.227	1.505	0.269	1.961	0.000	0.464	0.330	0.642	0.559	0.836	0.962
5S_rRNA|ENSPMAT00000012031	19.551	11.462	11.935	2.782	2.239	0.291	14.830	1.824	10.454	0.598	1.279
5S_rRNA|ENSPMAT00000012034	0.822	0.380	0.364	0.238	0.041	0.183	0.270	0.176	0.474	0.176	0.744
5S_rRNA|ENSPMAT00000012036	0.855	0.000	1.713	2.018	0.523	1.150	0.999	0.994	1.135	2.606	1.502
5S_rRNA|ENSPMAT00000012038	0.389	7.920	0.857	3.027	0.523	0.460	0.555	0.994	3.404	1.737	1.001
5S_rRNA|ENSPMAT00000012039	0.382	3.041	1.101	1.649	1.835	0.926	0.874	0.650	2.809	0.853	1.951
5S_rRNA|ENSPMAT00000012042	0.372	0.985	0.150	0.000	0.000	0.000	0.089	0.000	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000012043	0.081	1.637	0.582	0.000	0.263	0.233	0.648	0.166	0.000	0.300	0.512
5S_rRNA|ENSPMAT00000012045	0.422	0.210	0.158	0.092	0.000	0.000	0.124	0.000	0.196	0.000	0.045
5S_rRNA|ENSPMAT00000012057	2.005	6.260	1.124	2.014	2.608	0.695	1.326	2.958	4.513	1.151	9.490
5S_rRNA|ENSPMAT00000012058	3.093	12.894	4.238	12.158	6.306	2.223	5.326	2.252	9.484	7.796	11.311
5S_rRNA|ENSPMAT00000012059	1.020	0.000	0.858	6.863	2.888	2.760	2.656	1.317	6.807	2.328	11.621
5S_rRNA|ENSPMAT00000012065	0.163	0.000	0.291	0.702	0.000	0.000	0.433	0.168	0.000	0.000	1.020
5S_rRNA|ENSPMAT00000012067	19.128	60.190	27.982	38.347	30.602	16.443	13.315	18.055	45.389	42.272	64.589
5S_rRNA|ENSPMAT00000012074	0.000	0.000	0.286	0.343	0.000	0.000	0.443	0.165	1.135	0.291	1.516
5S_rRNA|ENSPMAT00000012080	0.000	0.000	0.291	0.348	0.000	0.000	0.000	0.166	0.000	0.899	0.000
5S_rRNA|ENSPMAT00000012081	0.078	0.000	0.000	0.343	0.263	0.345	0.111	0.000	0.000	0.291	2.021
5S_rRNA|ENSPMAT00000012082	0.799	4.835	0.578	1.723	0.788	1.285	0.883	0.821	3.432	1.459	3.519
5S_rRNA|ENSPMAT00000012083	0.778	0.000	0.571	1.009	0.785	0.460	0.111	0.331	0.567	0.290	0.501
5S_rRNA|ENSPMAT00000012085	0.116	0.000	0.000	0.897	0.000	0.000	0.253	0.068	0.000	0.000	0.000
5S_rRNA|ENSPMAT00000012086	0.000	1.596	1.144	1.029	0.263	0.115	0.332	0.165	0.567	0.582	2.021
5S_rRNA|ENSPMAT00000012087	1.369	0.000	0.865	2.075	0.263	0.350	1.634	1.476	5.772	2.967	2.532
5S_rRNA|ENSPMAT00000012090	2.955	4.752	3.141	9.082	0.785	0.805	3.107	2.485	10.212	8.686	10.514
5S_rRNA|ENSPMAT00000012092	0.392	0.000	1.429	1.373	0.263	0.000	0.111	0.494	0.000	2.037	0.505
5S_rRNA|ENSPMAT00000012095	0.000	0.000	0.000	0.276	0.152	0.118	0.000	0.046	0.575	0.000	0.081
5S_rRNA|ENSPMAT00000012096	0.853	6.438	0.363	3.195	2.844	0.516	3.441	1.884	3.484	0.000	2.811
5S_rRNA|ENSPMAT00000012100	1.998	6.447	1.733	5.168	2.627	1.168	0.883	1.971	10.296	5.546	4.525
5S_rRNA|ENSPMAT00000012104	0.602	0.000	0.271	0.115	0.094	0.000	0.324	0.000	0.106	0.156	0.000
5S_rRNA|ENSPMAT00000012105	1.099	0.000	1.715	6.792	0.525	0.575	2.214	1.481	2.836	2.328	4.779
