SeqID	tissues	sham+4days_1	sham+4days_2	SCI+4days_1	SCI+4days_2	SCI+4days_3
ABCC12|XM_034788558.1|mRNA	0.538	0.000	0.000	0.508	0.307	0.000
ABCC12|XR_004648001.1|transcript	1.037	0.131	0.000	0.022	0.000	0.000
ABCC2|XM_034776156.1|mRNA	2.796	0.298	0.463	0.153	0.290	0.000
ABCC4|XM_034758263.1|mRNA	0.610	0.000	0.000	2.480	0.000	4.306
ABCC4|XM_034758264.1|mRNA	0.000	0.932	2.199	0.000	3.085	0.000
ABCC5|XM_034781426.1|mRNA	0.135	0.676	0.000	1.558	0.000	0.000
ABCC5|XM_034781428.1|mRNA	0.459	2.075	3.461	6.503	1.798	5.003
ABCC5|XM_034781429.1|mRNA	0.111	0.205	2.800	0.335	0.000	0.000
ABCC5|XM_034781431.1|mRNA	2.985	12.570	27.882	24.317	19.770	21.193
ABCC5|XM_034781432.1|mRNA	0.350	0.000	7.383	0.000	4.080	2.837
ABCC5|XM_034781433.1|mRNA	3.057	14.255	40.542	38.003	36.083	34.509
ABCC8|XM_034770189.1|mRNA	0.652	4.873	10.260	4.464	3.702	4.943
ABCC9|XM_034782670.1|mRNA	0.094	1.005	0.775	0.844	1.247	0.000
ABCC9|XM_034782678.1|mRNA	0.581	1.305	1.437	4.439	1.158	1.621
ABCD2|XM_034766898.1|mRNA	0.429	2.629	5.676	3.951	4.349	3.398
ABCD3|XM_034778556.1|mRNA	7.422	17.409	86.955	46.400	83.286	75.305
ABCD4|XM_034768550.1|mRNA	2.359	2.348	0.000	4.751	7.395	1.651
ABCD4|XM_034768551.1|mRNA	3.125	1.916	2.276	8.309	0.000	4.327
ABCD4|XM_034768552.1|mRNA	0.524	2.038	4.584	0.025	3.348	0.000
ABCE1|XM_034771049.1|mRNA	20.498	25.865	119.999	69.823	162.016	158.063
ABCF1|XM_034757570.1|mRNA	10.682	18.595	18.241	89.159	18.722	27.702
ABCF1|XM_034757571.1|mRNA	2.746	5.350	2.482	10.360	3.593	1.144
ABCF3|XM_034781865.1|mRNA	9.383	8.219	22.569	21.467	17.592	19.467
ABCG1|XM_034753355.1|mRNA	0.541	2.233	4.952	3.833	8.089	5.534
ABCG4|XM_034754750.1|mRNA	0.816	1.313	5.348	3.320	5.869	6.285
ABCG5|XM_034764438.1|mRNA	0.564	2.044	7.570	2.472	5.526	4.173
ABCG5|XM_034764439.1|mRNA	0.093	0.603	0.308	1.041	0.387	0.321
ABCG8|XM_034764436.1|mRNA	0.125	0.320	1.648	0.627	1.654	1.239
ABCG8|XM_034764437.1|mRNA	0.139	0.635	1.330	0.530	2.415	0.675
ABHD10|XM_034768433.1|mRNA	4.291	7.688	62.075	16.074	59.562	67.626
ABHD12B|XM_034767912.1|mRNA	3.632	10.752	68.903	24.498	48.864	68.545
ABHD12|XM_034763930.1|mRNA	9.935	65.823	350.866	127.486	309.133	226.172
ABHD13|XM_034758180.1|mRNA	1.190	2.668	10.463	8.094	10.870	9.969
ABHD14A|XM_034777289.1|mRNA	0.000	0.321	0.000	0.603	3.858	0.000
ABHD14A|XM_034777291.1|mRNA	1.993	1.730	11.606	3.848	8.613	9.020
ABHD14B|XM_034777224.1|mRNA	7.765	3.106	8.365	9.940	11.419	15.602
ABHD15|XM_034752467.1|mRNA	3.247	17.162	39.509	32.355	39.861	25.041
ABHD16A|XM_034757544.1|mRNA	0.824	2.071	15.447	4.704	23.460	12.844
ABHD17A|XM_034755343.1|mRNA	0.411	1.047	10.634	3.098	17.393	15.230
ABHD17B|XM_034773655.1|mRNA	0.410	0.970	29.930	1.943	23.810	20.099
ABHD17B|XM_034773657.1|mRNA	2.768	14.029	126.589	22.844	80.564	61.020
ABHD17C|XM_034784482.1|mRNA	3.331	9.472	53.956	21.950	49.715	45.246
ABHD18|XM_034771194.1|mRNA	13.508	5.320	31.884	10.098	29.559	46.147
ABHD18|XR_004645811.1|transcript	3.986	1.996	0.000	6.545	3.901	2.234
ABHD18|XR_004645812.1|transcript	0.824	0.505	0.000	1.269	2.330	2.320
ABHD2|XM_034782909.1|mRNA	1.576	4.937	21.291	19.011	25.716	11.111
ABHD2|XM_034782910.1|mRNA	1.576	1.236	2.334	0.201	0.437	11.111
ABHD2|XM_034782911.1|mRNA	0.000	0.955	0.000	3.982	4.305	2.846
ABHD3|XM_034762751.1|mRNA	0.511	0.124	2.799	1.388	1.097	3.036
ABHD5|XM_034760860.1|mRNA	2.799	3.919	34.364	11.783	40.750	28.707
ABHD6|XM_034775945.1|mRNA	0.152	0.000	3.990	2.127	3.280	2.717
ABHD6|XM_034775946.1|mRNA	3.962	18.371	53.967	27.615	62.258	34.351
ABHD8|XM_034755193.1|mRNA	0.113	0.822	6.281	1.127	1.748	1.651
ABHD8|XM_034755195.1|mRNA	0.809	0.389	0.000	0.853	0.000	0.000
ABI1|XM_034760198.1|mRNA	0.582	7.333	34.568	7.658	0.691	0.246
ABI1|XM_034760199.1|mRNA	0.773	2.070	0.002	3.488	0.000	20.901
ABI1|XM_034760200.1|mRNA	1.375	2.982	25.341	13.810	44.538	24.001
ABI1|XM_034760202.1|mRNA	0.419	0.012	0.247	5.365	34.530	3.484
ABI1|XM_034760203.1|mRNA	1.841	0.791	1.247	6.196	0.002	10.468
ABI1|XM_034760204.1|mRNA	0.654	0.238	4.495	0.000	1.892	7.347
ABI1|XM_034760205.1|mRNA	0.888	0.055	1.843	0.000	0.000	3.103
ABI1|XM_034760206.1|mRNA	0.376	1.065	9.185	6.022	8.028	0.000
ABI1|XM_034760207.1|mRNA	0.524	0.235	3.587	2.407	18.127	15.748
ABI2|XM_034785148.1|mRNA	0.686	0.269	0.732	5.390	5.131	0.000
ABI2|XM_034785150.1|mRNA	0.940	4.602	0.023	7.723	3.795	0.000
ABI2|XM_034785154.1|mRNA	1.162	2.164	3.062	5.743	0.000	2.531
ABI2|XM_034785156.1|mRNA	0.211	3.522	11.112	0.798	15.819	13.922
ABI2|XM_034785159.1|mRNA	0.000	0.771	0.000	7.566	0.313	1.943
ABI3BP|XM_034767801.1|mRNA	2.917	17.652	31.921	39.939	13.650	14.714
ABI3|XM_034755700.1|mRNA	0.000	0.522	1.126	1.268	0.000	0.000
ABI3|XM_034755701.1|mRNA	0.110	0.272	0.000	0.462	0.000	0.713
ABI3|XM_034755703.1|mRNA	0.636	0.807	0.275	0.000	3.240	2.847
ABITRAM|XM_034761456.1|mRNA	2.764	1.481	73.528	25.674	93.796	84.045
ABITRAM|XM_034761457.1|mRNA	0.624	1.693	6.981	6.040	15.706	13.135
ABITRAM|XM_034761458.1|mRNA	1.144	6.815	6.243	0.728	6.044	10.853
ABITRAM|XM_034761459.1|mRNA	0.155	2.326	3.540	2.475	1.725	8.543
ABL1|XM_034793631.1|mRNA	0.695	1.753	11.150	4.781	11.386	11.167
ABL1|XM_034793632.1|mRNA	0.647	2.029	0.322	6.879	0.926	0.574
ABL1|XM_034793633.1|mRNA	0.115	0.555	1.150	0.000	1.536	2.699
ABL2|XM_034778197.1|mRNA	0.000	0.000	1.530	0.000	3.773	1.560
ABL2|XM_034778198.1|mRNA	0.864	2.330	4.897	8.808	4.930	6.208
ABL2|XM_034778199.1|mRNA	0.153	0.132	1.559	0.597	2.747	1.446
ABLIM1|XM_034776053.1|mRNA	0.000	0.117	0.544	0.806	0.000	0.458
ABLIM1|XM_034776055.1|mRNA	0.127	0.521	0.000	1.344	0.000	0.518
ABLIM1|XM_034776071.1|mRNA	0.743	1.645	2.586	2.743	0.000	3.690
ABLIM1|XM_034776072.1|mRNA	0.181	1.498	0.554	2.032	0.000	0.000
ABLIM1|XM_034776073.1|mRNA	0.000	0.332	0.414	0.616	0.000	0.000
ABLIM1|XM_034776075.1|mRNA	0.624	3.541	7.435	5.620	1.659	4.464
ABLIM1|XM_034776077.1|mRNA	0.695	7.287	11.127	12.755	7.155	2.102
ABLIM1|XM_034776078.1|mRNA	0.337	1.456	2.182	3.340	1.842	2.091
ABLIM2|XM_034772825.1|mRNA	0.214	1.054	6.101	2.458	12.154	10.086
ABLIM2|XM_034772828.1|mRNA	0.072	0.000	0.000	0.000	4.876	8.272
ABLIM2|XM_034772829.1|mRNA	0.201	2.486	12.306	5.365	2.755	2.427
ABLIM2|XM_034772830.1|mRNA	0.145	0.000	10.673	0.000	0.000	0.001
ABLIM2|XM_034772832.1|mRNA	0.000	2.150	0.000	2.220	0.000	0.002
ABLIM2|XM_034772833.1|mRNA	0.000	0.173	0.000	0.730	7.116	4.045
ABLIM2|XM_034772834.1|mRNA	0.000	0.234	2.937	0.354	0.000	0.761
ABLIM2|XM_034772835.1|mRNA	0.173	0.713	10.327	1.065	2.362	0.090
ABLIM2|XM_034772836.1|mRNA	1.407	4.144	11.932	13.406	18.317	11.331
ABLIM2|XM_034772837.1|mRNA	1.030	2.584	0.007	4.566	13.286	11.820
ABLIM2|XM_034772838.1|mRNA	3.016	10.731	15.069	13.583	35.470	21.181
ABLIM2|XM_034772840.1|mRNA	4.688	23.135	132.149	40.456	79.757	61.666
ABLIM3|XM_034778705.1|mRNA	0.514	0.885	0.000	0.000	0.000	0.753
ABLIM3|XM_034778707.1|mRNA	1.026	1.480	3.474	9.081	2.829	2.382
ABLIM3|XM_034778709.1|mRNA	0.330	0.405	0.000	0.589	0.000	0.000
ABLIM3|XR_004646787.1|transcript	0.110	0.533	0.000	0.870	0.000	1.660
ABLIM3|XR_004646789.1|transcript	0.000	0.037	0.000	0.089	2.530	0.000
ABLIM3|XR_004646790.1|transcript	0.225	0.697	0.000	1.917	0.000	0.000
ABRACL|XM_034765529.1|mRNA	1.124	0.796	5.705	12.556	18.378	35.259
ABRAXAS1|XM_034771598.1|mRNA	1.518	2.299	1.148	7.470	1.649	14.045
ABRAXAS1|XM_034771599.1|mRNA	0.000	0.000	8.564	0.962	11.394	0.000
ABRAXAS2|XM_034776725.1|mRNA	2.899	6.778	14.655	13.680	17.840	18.204
ABRA|XM_034763484.1|mRNA	0.038	0.017	0.932	0.076	1.270	0.465
ABR|XM_034752286.1|mRNA	0.149	0.308	0.223	0.497	0.551	0.000
ABR|XM_034752287.1|mRNA	4.782	8.006	9.115	15.350	7.981	1.720
ABR|XM_034752288.1|mRNA	0.422	0.368	0.000	4.819	3.712	6.150
ABR|XM_034752289.1|mRNA	0.000	0.157	27.851	0.000	26.462	19.201
ABT1|XM_034792007.1|mRNA	0.343	0.183	0.656	2.186	0.850	5.077
ABTB1|XM_034775445.1|mRNA	2.096	4.988	8.333	3.690	4.110	6.810
ABTB1|XM_034775447.1|mRNA	0.929	1.459	0.740	8.049	2.661	0.747
ABTB1|XM_034775448.1|mRNA	0.610	0.971	1.166	1.911	0.958	1.852
ABTB2|XM_034769699.1|mRNA	0.858	5.236	27.247	10.159	16.892	16.910
ACAA1|XM_034759908.1|mRNA	17.960	13.869	82.437	34.926	92.774	80.983
ACAA2|XM_034774171.1|mRNA	49.980	13.918	109.731	38.777	109.369	116.394
ACACA|XM_034752336.1|mRNA	0.082	0.612	0.943	0.853	0.000	0.595
ACACA|XM_034752340.1|mRNA	0.628	0.000	0.000	0.000	10.835	0.000
ACACA|XM_034752341.1|mRNA	0.864	0.318	3.324	0.000	0.000	3.388
ACACA|XM_034752342.1|mRNA	0.000	3.198	15.494	9.175	0.000	3.673
ACACB|XM_034791504.1|mRNA	0.045	1.259	0.993	0.873	0.000	0.000
ACACB|XM_034791506.1|mRNA	0.000	1.697	0.000	3.556	0.000	0.000
ACACB|XM_034791507.1|mRNA	0.000	0.528	8.674	0.393	7.322	6.358
ACACB|XR_004648290.1|transcript	0.052	0.419	0.327	0.844	0.181	0.146
ACAD10|XM_034790809.1|mRNA	1.842	2.215	0.000	3.672	0.000	0.000
ACAD11|XM_034760927.1|mRNA	4.040	0.000	5.874	0.895	4.829	8.000
ACAD11|XM_034760928.1|mRNA	4.637	1.728	13.222	3.615	15.032	7.865
ACAD8|XM_034754780.1|mRNA	1.898	3.306	22.878	12.431	24.586	17.448
ACAD8|XM_034754781.1|mRNA	0.000	1.821	0.000	3.377	0.000	0.741
ACAD9|XM_034777780.1|mRNA	22.471	18.761	66.990	54.508	55.199	56.156
ACADL|XM_034785869.1|mRNA	23.466	10.263	29.999	37.302	49.321	93.617
ACADL|XM_034785870.1|mRNA	30.741	5.728	69.237	0.000	71.089	10.327
ACADM|XM_034778689.1|mRNA	0.438	2.920	1.750	4.758	1.886	2.330
ACADM|XM_034778690.1|mRNA	11.411	5.232	32.849	16.904	54.499	48.557
ACADSB|XM_034777879.1|mRNA	27.480	14.381	26.013	31.311	28.207	15.065
ACADSB|XM_034777880.1|mRNA	2.104	6.039	12.579	6.692	7.620	7.942
ACADS|XM_034791288.1|mRNA	0.000	0.000	12.173	0.000	0.000	16.573
ACADS|XM_034791289.1|mRNA	2.976	5.274	9.597	14.524	30.550	10.376
ACADVL|XM_034782335.1|mRNA	0.000	1.126	0.001	0.817	1.892	1.045
ACADVL|XM_034782336.1|mRNA	0.164	0.080	1.605	0.116	0.000	0.000
ACADVL|XM_034782337.1|mRNA	0.000	0.000	0.599	0.399	0.651	2.335
ACAN|XM_034784302.1|mRNA	0.596	2.562	6.528	3.650	4.998	6.134
ACAN|XM_034784303.1|mRNA	0.000	1.482	5.681	7.792	4.723	3.756
ACAP2|XM_034780621.1|mRNA	0.000	0.343	0.000	0.020	14.501	0.000
ACAP2|XM_034780622.1|mRNA	4.377	12.129	25.746	25.884	28.334	29.257
ACAP2|XM_034780623.1|mRNA	0.000	0.681	0.845	0.844	0.000	2.703
ACAP2|XM_034780624.1|mRNA	0.923	2.645	15.926	5.562	0.000	3.492
ACAP3|XM_034753170.1|mRNA	0.140	0.372	3.048	0.837	3.181	1.433
ACAP3|XM_034753173.1|mRNA	2.144	5.612	15.273	12.454	12.063	12.143
ACAT1|XM_034758838.1|mRNA	86.643	32.829	309.315	59.965	157.954	186.367
ACAT2|XM_034765289.1|mRNA	4.153	11.509	142.620	24.018	66.355	94.228
ACBD3|XM_034764703.1|mRNA	3.873	8.332	37.096	25.288	37.884	38.497
ACBD4|XM_034756165.1|mRNA	0.722	0.855	24.983	2.561	26.582	27.662
ACBD5|XM_034760191.1|mRNA	0.707	2.211	3.482	1.661	6.903	0.001
ACBD5|XM_034760192.1|mRNA	5.392	7.037	29.728	16.922	0.338	24.342
ACBD5|XM_034760193.1|mRNA	0.008	1.043	3.965	1.576	22.575	9.778
ACBD6|XM_034779678.1|mRNA	7.002	14.276	41.762	37.602	46.983	44.285
ACBD6|XM_034779680.1|mRNA	0.000	0.228	0.000	2.215	3.564	0.000
ACD|XM_034788271.1|mRNA	1.609	1.884	9.574	4.488	8.415	9.748
ACER2|XM_034773643.1|mRNA	0.954	1.091	1.797	3.276	0.000	1.341
ACER2|XM_034773644.1|mRNA	0.000	0.747	0.494	0.000	1.471	0.000
ACER3|XM_034759128.1|mRNA	6.659	4.105	24.217	26.942	7.390	25.870
ACER3|XM_034759129.1|mRNA	0.844	0.000	8.863	0.000	15.410	6.231
ACER3|XM_034759130.1|mRNA	0.835	12.796	14.750	22.683	40.565	33.299
ACE|XM_034755873.1|mRNA	2.477	3.227	8.734	9.392	16.403	19.070
ACKR1|XM_034756892.1|mRNA	0.783	2.129	10.484	4.641	8.913	8.537
ACKR2|XM_034759820.1|mRNA	3.383	9.819	6.145	15.407	5.937	5.897
ACKR3|XM_034786228.1|mRNA	1.146	9.302	5.000	29.677	0.000	0.000
ACKR3|XM_034786229.1|mRNA	1.394	0.000	46.439	5.394	43.894	64.100
ACKR4|XM_034760929.1|mRNA	0.646	0.191	6.727	1.793	0.000	1.830
ACKR4|XM_034760930.1|mRNA	2.366	3.553	30.176	8.950	35.212	40.831
ACLY|XM_034755760.1|mRNA	4.309	25.124	87.959	53.366	60.179	38.636
ACLY|XM_034755761.1|mRNA	2.773	8.512	94.656	18.156	71.105	80.344
ACO1|XM_034773451.1|mRNA	1.827	2.336	0.000	6.240	5.614	6.201
ACO1|XM_034773452.1|mRNA	0.000	1.796	0.000	5.996	0.000	0.000
ACO1|XM_034773453.1|mRNA	3.661	1.565	21.233	4.944	28.432	24.216
ACO1|XM_034773454.1|mRNA	3.661	1.565	21.233	4.944	28.432	24.216
ACO2|XM_034775355.1|mRNA	15.009	32.430	196.516	64.858	119.908	121.834
ACOD1|XM_034758318.1|mRNA	0.290	0.475	3.701	2.313	14.190	12.890
ACOT11|XM_034778759.1|mRNA	0.678	4.120	4.072	7.809	22.396	10.918
ACOT11|XM_034778760.1|mRNA	7.174	2.236	10.180	9.404	13.927	7.660
ACOT12|XM_034774629.1|mRNA	1.520	1.666	1.656	2.341	1.556	3.134
ACOT13|XM_034762434.1|mRNA	10.817	9.541	45.787	23.012	73.187	70.320
ACOT13|XM_034762436.1|mRNA	0.706	0.685	5.261	4.289	0.000	8.238
ACOT7|XM_034753177.1|mRNA	0.669	6.752	1.306	3.050	110.300	0.000
ACOT7|XM_034753179.1|mRNA	1.186	0.836	18.192	1.364	43.530	35.427
ACOT7|XM_034753180.1|mRNA	7.289	14.627	172.211	43.663	0.000	113.131
ACOT8|XM_034787012.1|mRNA	1.975	1.758	18.323	7.183	32.399	28.765
ACOT9|XM_034755201.1|mRNA	1.288	4.800	2.271	14.492	0.000	2.458
ACOT9|XM_034755209.1|mRNA	0.506	4.471	8.526	11.556	6.835	6.028
ACOT9|XM_034755218.1|mRNA	6.761	23.768	35.687	43.383	24.940	27.311
ACOX1|XM_034790296.1|mRNA	1.978	3.492	21.692	18.085	25.590	29.946
ACOX1|XM_034790297.1|mRNA	6.076	5.617	13.349	10.145	0.000	9.358
ACOX1|XM_034790298.1|mRNA	1.048	0.499	28.281	4.504	49.691	13.681
ACOX2|XM_034775563.1|mRNA	9.127	1.216	7.020	2.553	1.857	4.076
ACOX3|XM_034772879.1|mRNA	0.000	3.929	17.869	11.067	31.796	32.900
ACOX3|XM_034772881.1|mRNA	1.211	2.387	5.451	9.489	7.011	4.972
ACOX3|XM_034772882.1|mRNA	0.000	0.133	0.893	0.464	1.813	2.217
ACOX3|XM_034772883.1|mRNA	2.012	4.052	0.000	5.012	0.000	0.000
ACOX3|XM_034772884.1|mRNA	0.000	0.758	28.869	0.000	0.000	0.014
ACP1|XM_034766402.1|mRNA	17.329	24.300	36.371	66.563	54.327	91.951
ACP1|XM_034766403.1|mRNA	11.650	10.857	7.468	24.692	0.000	18.833
ACP1|XM_034766404.1|mRNA	1.988	0.000	43.458	6.897	100.216	15.836
ACP1|XM_034766405.1|mRNA	7.286	0.000	79.088	5.103	84.702	97.452
ACP2|XM_034769504.1|mRNA	2.435	2.175	8.340	11.195	14.386	19.157
ACP2|XM_034769505.1|mRNA	0.156	0.000	11.065	0.475	0.003	4.130
ACP2|XM_034769506.1|mRNA	0.000	1.991	15.921	0.826	29.226	14.921
ACP6|XM_034792065.1|mRNA	0.794	1.569	14.350	1.731	3.624	7.170
ACP6|XM_034792074.1|mRNA	2.063	2.752	40.514	15.618	58.717	38.683
ACP7|XM_034792894.1|mRNA	0.867	1.002	5.984	3.662	23.966	27.111
ACRBP|XM_034766619.1|mRNA	0.207	0.553	0.472	0.687	0.000	0.000
ACSBG1|XM_034783365.1|mRNA	0.000	0.298	0.000	1.894	0.171	0.000
ACSBG1|XM_034783367.1|mRNA	0.000	0.001	4.478	0.185	0.000	0.000
ACSBG1|XM_034783368.1|mRNA	10.152	0.301	0.000	0.339	4.317	1.132
ACSBG1|XM_034783369.1|mRNA	0.760	8.686	10.633	18.036	0.000	8.159
ACSBG1|XM_034783371.1|mRNA	0.276	0.272	1.958	0.298	0.000	0.000
ACSBG1|XM_034783372.1|mRNA	11.459	8.868	60.525	14.973	68.908	20.923
ACSBG2|XM_034755213.1|mRNA	0.834	1.493	0.000	3.323	0.000	0.000
ACSBG2|XM_034755214.1|mRNA	0.427	1.187	9.024	11.304	15.001	22.347
ACSBG2|XM_034755215.1|mRNA	0.336	0.441	0.000	3.010	0.000	0.000
ACSF2|XM_034789886.1|mRNA	3.282	1.213	12.691	6.875	16.773	38.024
ACSF3|XM_034788369.1|mRNA	1.766	2.860	15.933	7.953	23.288	16.264
ACSL1|XM_034772611.1|mRNA	23.511	10.707	65.400	19.987	46.578	32.265
ACSL1|XM_034772612.1|mRNA	21.094	2.457	8.638	8.469	2.911	8.066
ACSL3|XM_034780967.1|mRNA	1.114	9.247	4.477	8.554	11.309	9.492
ACSL3|XM_034780969.1|mRNA	0.091	0.022	0.494	0.010	0.000	14.487
ACSL3|XM_034780970.1|mRNA	0.000	0.000	0.005	0.913	3.487	0.000
ACSL3|XM_034780971.1|mRNA	0.000	0.839	2.045	0.861	0.433	0.000
ACSL3|XM_034780972.1|mRNA	4.228	2.450	30.765	10.990	14.173	4.263
ACSL3|XR_004647042.1|transcript	0.100	0.340	0.798	2.571	0.639	0.394
ACSL4|XM_034781568.1|mRNA	21.930	5.778	15.436	15.623	16.815	13.057
ACSL4|XM_034781569.1|mRNA	0.063	5.477	0.205	6.499	34.538	51.998
ACSL4|XM_034781570.1|mRNA	10.282	1.917	51.567	15.727	34.802	14.577
ACSL5|XM_034777066.1|mRNA	21.114	0.118	0.239	0.422	0.000	0.165
ACSL6|XM_034778589.1|mRNA	0.000	0.000	0.000	4.649	0.000	0.000
ACSL6|XM_034778590.1|mRNA	1.773	9.027	30.895	8.529	3.202	10.817
ACSL6|XM_034778591.1|mRNA	0.000	6.782	13.463	8.890	20.474	1.916
ACSL6|XM_034778592.1|mRNA	1.112	6.339	25.960	9.947	11.966	8.570
