SeqID	0dpa_1	0dpa_2	0dpa_3	1dpa_1	1dpa_2	1dpa_3	3dpa_1	3dpa_2	3dpa_3
LOC100487057|rna2987|gene932|Level=3	4.017	4.191	3.376	3.217	2.609	2.691	3.986	4.814	4.734
LOC100487103|rna62330|gene33009|Level=3	5.170	5.631	4.159	4.232	4.812	5.261	4.594	5.296	4.837
LOC100487159|rna7891|gene2380|Level=3	0.378	0.251	0.297	0.102	0.215	0.693	0.706	1.581	0.965
LOC100487170|rna34495|gene15318|Level=3	4.915	8.710	4.149	3.911	4.488	5.709	4.024	5.407	4.262
LOC100487171|rna47893|gene23979|Level=3	0.047	0.113	0.019	0.062	0.018	0.108	0.388	0.256	0.317
LOC100487199|rna44985|gene22130|Level=3	8.272	13.990	9.442	15.220	15.806	20.136	18.346	19.825	18.572
LOC100487200|rna41943|gene20246|Level=3	2.670	4.159	2.736	14.736	12.871	17.918	16.806	18.686	16.312
LOC100487206|rna20276|gene6280|Level=3	3.271	0.923	3.435	0.103	1.119	0.360	0.818	15.669	1.009
LOC100487218|rna38815|gene18207|Level=3	1.202	1.264	0.906	0.986	1.026	0.870	0.929	0.750	1.029
LOC100487261|rna47932|gene24004|Level=3	1.202	0.885	1.491	0.902	1.061	1.103	0.286	0.776	0.672
LOC100487262|rna9658|gene2948|Level=3	6.630	18.186	6.463	4.972	7.033	5.191	1.707	4.426	3.193
LOC100487273|rna35634|gene16142|Level=3	1.162	1.441	1.160	0.740	0.934	0.775	1.928	2.250	1.094
LOC100487313|rna13262|gene4062|Level=3	6.595	8.034	7.494	3.953	4.795	4.726	3.255	6.920	4.731
LOC100487319|rna60772|gene32078|Level=3	2.366	3.053	1.794	2.370	2.263	2.445	2.385	2.226	1.987
LOC100487321|rna767|gene250|Level=3	0.000	3.900	0.000	0.000	0.426	0.000	0.000	1.893	0.000
LOC100487369|rna40132|gene19112|Level=3	3.193	0.146	3.901	0.120	1.256	0.558	0.000	2.273	0.176
LOC100487399|rna53120|gene27249|Level=3	0.232	0.242	0.102	0.169	0.198	0.395	0.299	0.168	0.125
LOC100487403|rna20079|gene6213|Level=3	0.278	1.990	0.655	1.356	2.213	3.795	0.359	0.966	1.596
LOC100487439|rna40923|gene19634|Level=3	4.647	5.910	3.957	5.037	4.928	6.163	5.189	6.413	5.365
LOC100487459|rna24926|gene7746|Level=3	9.774	17.455	6.615	14.409	15.454	16.001	9.270	12.146	8.599
LOC100487466|rna13295|gene4070|Level=3	1.683	1.554	3.578	1.641	1.666	1.852	2.245	2.136	2.415
LOC100487471|gene23357|gene23357|Level=3	6.655	10.085	4.938	7.618	7.947	9.037	8.163	10.248	8.547
LOC100487496|rna31326|gene12202|Level=3	0.544	2.179	0.458	0.758	0.309	0.380	0.151	0.225	0.000
LOC100487499|rna8366|gene2520|Level=3	81.581	78.238	78.810	34.019	34.110	37.132	40.655	51.863	40.061
LOC100487502|rna8080|gene2433|Level=3	0.380	0.000	0.559	0.185	0.000	0.216	0.491	0.110	0.681
LOC100487519|rna46526|gene23132|Level=3	0.361	1.507	1.912	2.288	1.026	1.642	13.297	6.893	5.698
LOC100487522|rna23507|gene7272|Level=3	3.145	3.676	2.614	2.431	3.181	3.362	3.309	3.276	2.985
LOC100487545|rna62755|gene33232|Level=3	0.001	0.767	1.308	0.009	0.000	2.364	0.000	0.775	0.000
LOC100487547|rna46420|gene23054|Level=3	0.597	0.720	1.320	0.427	0.611	0.434	0.670	0.157	0.256
LOC100487565|rna2570|gene810|Level=3	3.324	3.171	3.911	0.648	3.022	3.779	0.859	0.000	0.000
LOC100487568|rna56386|gene29266|Level=3	15.719	22.302	14.725	14.479	15.700	16.427	4.558	8.431	6.770
LOC100487577|rna56611|gene29398|Level=3	0.108	0.172	0.113	0.176	0.247	0.233	0.966	1.116	1.124
LOC100487580|rna49399|gene24852|Level=3	0.111	0.391	0.077	0.091	0.151	0.166	0.175	0.095	0.043
LOC100487625|rna53294|gene27358|Level=3	2.160	3.689	4.647	1.043	1.747	1.526	2.162	4.458	3.043
LOC100487628|rna60867|gene32114|Level=3	2.923	5.265	2.273	1.806	2.352	2.349	1.931	2.558	2.308
LOC100487637|rna49451|gene24893|Level=3	8.402	8.186	38.660	0.396	1.797	1.001	1.051	7.578	0.875
LOC100487648|rna56974|gene29631|Level=3	0.333	1.226	0.157	0.455	0.711	0.752	0.974	1.185	0.781
LOC100487666|rna35089|gene15833|Level=3	0.043	0.207	0.085	0.113	0.148	0.296	0.019	0.117	0.104
LOC100487667|rna56381|gene29263|Level=3	12.288	10.606	9.947	11.498	10.959	13.119	19.520	17.216	14.679
LOC100487686|rna36279|gene16575|Level=3	3.726	6.240	3.780	7.475	9.467	9.602	4.901	5.078	5.323
LOC100487695|rna51732|gene26362|Level=3	1.174	1.332	1.021	1.016	1.074	1.070	0.788	1.319	0.832
LOC100487732|rna45025|gene22156|Level=3	3.978	2.351	4.884	14.266	16.040	5.624	3.442	5.164	2.085
LOC100487738|rna39648|gene18786|Level=3	1.896	3.110	1.935	2.043	2.024	2.251	2.058	2.170	2.104
LOC100487751|rna29594|gene10496|Level=3	9.265	13.531	10.180	11.164	12.377	13.799	20.171	17.914	23.164
LOC100487773|rna52091|gene26576|Level=3	0.096	0.188	0.052	0.094	0.129	0.189	0.136	0.142	0.113
LOC100487805|rna59193|gene31038|Level=3	4.696	5.381	3.451	3.623	3.355	4.213	4.537	4.537	4.284
LOC100487810|rna43095|gene20972|Level=3	0.479	1.749	1.166	0.093	0.363	0.218	0.268	1.017	0.321
LOC100487844|rna30276|gene11162|Level=3	0.107	0.227	0.044	0.226	0.034	0.285	0.031	0.109	0.102
LOC100487846|rna50316|gene25440|Level=3	0.808	4.407	1.179	3.276	6.710	8.489	1.886	7.079	2.928
LOC100487903|rna4890|gene1503|Level=3	0.291	0.476	0.356	0.412	0.353	0.383	0.323	0.466	0.461
LOC100487908|rna46472|gene23092|Level=3	6.358	0.474	2.525	2.634	2.709	4.698	28.229	21.058	26.112
LOC100487926|rna54722|gene28233|Level=3	3.381	2.867	3.589	5.025	3.860	5.108	4.389	4.347	3.902
LOC100487959|rna51074|gene25915|Level=3	7.956	11.265	6.503	7.193	7.756	7.175	5.753	7.208	6.286
LOC100487960|rna55602|gene28749|Level=3	0.483	0.122	0.368	0.082	0.252	0.190	0.172	1.132	0.501
LOC100487962|rna45486|gene22462|Level=3	7.317	10.164	5.828	6.893	6.797	7.534	9.693	9.206	9.274
LOC100488012|rna52619|gene26936|Level=3	1.147	2.749	1.581	5.409	5.450	6.209	5.453	5.193	5.130
LOC100488029|rna60220|gene31732|Level=3	1.226	1.189	1.028	0.914	0.964	0.998	1.483	1.572	1.049
LOC100488087|rna58640|gene30684|Level=3	8.332	11.716	7.139	14.392	13.585	13.487	6.612	10.636	7.731
LOC100488129|rna47896|gene23982|Level=3	7.172	7.773	5.705	10.289	10.118	9.797	12.479	11.834	10.319
LOC100488200|rna47137|gene23534|Level=3	0.118	0.381	0.297	0.066	0.153	0.153	0.978	1.538	2.052
LOC100488259|rna30303|gene11188|Level=3	0.720	0.721	1.592	1.123	0.851	1.407	2.901	2.098	3.552
LOC100488259|rna38578|gene18050|Level=3	0.154	0.288	0.374	0.370	0.288	0.315	1.062	0.773	0.943
LOC100488277|rna8885|gene2680|Level=3	85.286	67.250	80.865	97.128	87.846	72.826	87.392	90.420	87.255
LOC100488281|rna31337|gene12213|Level=3	0.170	0.051	0.100	0.331	0.338	0.241	0.000	0.246	0.305
LOC100488296|rna32795|gene13652|Level=3	0.122	0.339	0.287	0.158	0.231	0.249	0.000	0.047	0.000
LOC100488322|rna63827|gene33881|Level=3	1.610	0.068	2.050	0.997	0.969	1.034	1.102	0.548	3.180
LOC100488374|rna5785|gene1768|Level=3	1.548	1.498	2.963	0.963	1.272	1.773	6.590	4.943	6.482
LOC100488380|rna46933|gene23396|Level=3	4.503	5.901	6.156	24.875	22.588	16.648	9.278	11.734	9.021
LOC100488381|rna43004|gene20913|Level=3	0.000	0.294	0.040	0.057	0.000	0.082	0.320	0.223	0.231
LOC100488382|rna8770|gene2642|Level=3	9.748	10.995	7.858	9.053	9.627	11.143	9.458	8.388	8.064
LOC100488395|rna57711|gene30109|Level=3	0.673	0.935	0.684	0.869	1.031	1.143	1.106	0.799	1.097
LOC100488408|rna52555|gene26891|Level=3	1.017	1.725	0.891	0.869	1.224	1.392	0.181	0.855	0.292
LOC100488427|rna60172|gene31693|Level=3	0.240	0.303	0.514	0.481	0.577	0.866	8.146	3.753	6.131
LOC100488455|rna47856|gene23963|Level=3	5.037	4.733	4.501	6.524	6.256	6.776	6.121	5.773	5.850
LOC100488459|rna24191|gene7506|Level=3	0.097	0.216	0.284	0.035	0.123	0.124	0.125	0.405	0.173
LOC100488469|rna38764|gene18162|Level=3	2.121	2.019	2.101	2.383	2.588	2.759	2.136	2.294	2.164
LOC100488482|rna49998|gene25252|Level=3	1.982	1.346	2.221	2.253	2.394	2.963	2.702	2.169	3.209
LOC100488529|rna10175|gene3103|Level=3	17.974	17.627	27.145	17.773	18.969	18.264	27.716	31.179	32.654
LOC100488559|rna53496|gene27478|Level=3	6.911	8.145	6.867	20.792	18.405	21.565	14.028	13.507	12.953
LOC100488562|rna29188|gene10093|Level=3	0.316	0.285	0.074	0.101	0.000	0.000	0.209	0.171	0.070
LOC100488563|rna54877|gene28324|Level=3	1.790	3.190	2.090	2.255	2.194	2.408	4.193	3.817	4.138
LOC100488566|rna37026|gene17068|Level=3	0.061	0.293	0.035	0.067	0.254	0.000	0.139	0.165	0.087
LOC100488577|rna6971|gene2123|Level=3	1.258	0.587	0.930	1.358	1.052	1.691	4.205	3.757	3.912
LOC100488592|rna59674|gene31377|Level=3	22.921	25.748	18.571	25.606	22.558	23.402	25.613	25.887	21.924
LOC100488596|rna23561|gene7287|Level=3	0.746	0.775	0.669	1.130	0.965	1.074	1.832	1.299	1.398
LOC100488610|rna20953|gene6481|Level=3	12.653	19.167	12.663	12.647	14.060	14.167	15.855	14.700	14.380
LOC100488647|rna45195|gene22280|Level=3	3.466	4.515	2.132	6.652	7.969	7.737	1.121	1.574	1.415
LOC100488687|rna12106|gene3694|Level=3	19.772	25.939	31.023	32.692	35.716	38.812	34.231	41.330	36.904
LOC100488688|rna34135|gene14960|Level=3	0.378	1.002	0.518	0.368	0.691	0.858	0.840	1.019	0.993
LOC100488689|rna47194|gene23567|Level=3	12.246	19.576	8.639	15.654	14.691	16.293	27.669	26.771	21.364
LOC100488690|rna27145|gene8390|Level=3	6.254	6.928	13.659	3.700	6.326	5.730	16.373	11.077	14.400
LOC100488697|rna22128|gene6853|Level=3	12.773	7.262	20.384	64.566	59.538	62.920	50.355	44.200	37.584
LOC100488711|rna41932|gene20239|Level=3	12.053	51.438	12.719	14.804	17.891	19.226	31.310	39.492	33.167
LOC100488737|rna42251|gene20441|Level=3	3.489	7.703	2.583	4.854	5.074	4.667	4.890	6.426	5.770
LOC100488756|rna52854|gene27072|Level=3	10.111	22.237	13.133	11.994	13.190	10.517	13.722	14.958	12.538
LOC100488770|rna1920|gene617|Level=3	2.435	1.726	2.424	3.320	2.928	3.194	8.386	5.662	8.223
LOC100488775|rna44114|gene21577|Level=3	1.023	1.761	0.847	1.985	2.109	2.648	2.741	3.111	2.364
LOC100488805|rna23019|gene7136|Level=3	0.440	0.000	2.931	0.572	1.332	0.833	0.758	0.000	0.000
LOC100488860|rna58438|gene30544|Level=3	1.143	2.416	1.072	2.329	1.986	2.235	1.381	1.635	1.213
LOC100488892|rna40532|gene19376|Level=3	0.456	0.635	0.179	0.667	0.576	0.317	0.655	0.792	0.582
LOC100488897|rna47645|gene23828|Level=3	0.000	0.010	0.000	0.263	0.585	0.144	0.054	0.741	0.073
LOC100488909|rna60467|gene31884|Level=3	0.675	0.548	0.190	0.579	0.627	0.445	0.774	1.062	0.607
LOC100488945|rna34418|gene15242|Level=3	0.475	0.601	0.424	0.520	0.442	0.622	0.559	0.784	0.579
LOC100488960|rna48303|gene24242|Level=3	0.284	0.339	0.835	0.138	0.484	0.161	0.000	0.493	0.611
LOC100489013|rna23225|gene7193|Level=3	9.376	17.486	8.541	7.472	9.228	10.364	12.151	14.013	12.717
LOC100489032|rna29902|gene10796|Level=3	0.483	1.172	0.266	0.140	0.080	0.310	0.237	1.322	0.807
