SeqID	ctrl_r1	ctrl_r2	0hpa_r1	0hpa_r2	6hpa_r1	24hpa_r1	24hpa_r2	72hpa_r1	72hpa_r2
LOC100487009|rna46572|gene23158|Level=3	9.713	7.912	8.156	5.759	11.499	10.895	13.268	10.355	8.648
LOC100487054|rna45825|gene22690|Level=3	3.431	7.726	5.622	4.207	4.864	6.255	6.427	7.625	9.878
LOC100487057|rna2987|gene932|Level=3	7.295	6.298	4.169	4.268	6.773	6.529	6.301	7.547	9.453
LOC100487103|rna62330|gene33009|Level=3	2.744	2.763	1.745	2.934	2.547	3.441	4.233	4.797	3.180
LOC100487130|rna33187|gene14035|Level=3	0.343	1.131	0.000	0.000	0.115	0.526	0.000	0.303	1.891
LOC100487159|rna7891|gene2380|Level=3	24.501	31.907	39.503	26.650	35.856	40.580	13.231	12.648	2.193
LOC100487170|rna34495|gene15318|Level=3	3.198	3.953	2.359	2.724	4.354	3.464	4.251	5.413	3.764
LOC100487199|rna44985|gene22130|Level=3	9.337	7.526	11.143	13.906	13.348	16.962	13.422	14.881	12.267
LOC100487200|rna41943|gene20246|Level=3	8.390	5.500	7.766	12.330	11.090	17.358	14.501	10.656	8.512
LOC100487206|rna20276|gene6280|Level=3	1.694	0.730	0.987	1.831	1.598	3.373	2.575	9.355	20.085
LOC100487218|rna38815|gene18207|Level=3	4.225	4.654	7.533	3.327	4.290	4.020	4.423	4.341	5.120
LOC100487261|rna47932|gene24004|Level=3	0.410	0.539	0.577	0.594	1.228	1.092	1.015	2.366	2.304
LOC100487262|rna9658|gene2948|Level=3	0.397	0.222	0.743	0.431	0.224	0.188	0.151	0.293	0.127
LOC100487273|rna35634|gene16142|Level=3	0.184	0.340	0.261	0.442	1.520	0.406	0.703	0.868	0.270
LOC100487313|rna13262|gene4062|Level=3	20.213	28.280	23.925	16.145	17.426	13.814	15.325	6.999	11.639
LOC100487319|rna60772|gene32078|Level=3	1.324	0.910	0.676	0.902	1.430	1.326	2.346	2.250	1.506
LOC100487369|rna40132|gene19112|Level=3	0.000	0.196	0.000	0.000	0.000	0.399	0.000	272.842	405.877
LOC100487370|rna38783|gene18180|Level=3	0.017	0.078	0.065	0.545	0.769	0.026	0.027	0.069	0.268
LOC100487399|rna53120|gene27249|Level=3	0.186	0.046	0.639	0.215	0.093	0.000	0.047	0.073	0.000
LOC100487427|rna28376|gene9290|Level=3	0.080	0.156	0.274	0.218	0.042	0.209	0.127	0.099	0.054
LOC100487439|rna40923|gene19634|Level=3	3.766	2.808	2.638	2.098	2.521	3.596	2.538	4.004	3.614
LOC100487459|rna24926|gene7746|Level=3	8.029	9.398	10.490	8.472	11.811	10.070	11.383	12.944	9.073
LOC100487466|rna13295|gene4070|Level=3	1.511	5.461	4.896	4.139	2.505	2.295	6.360	4.250	6.559
LOC100487471|gene23357|gene23357|Level=3	7.668	5.844	5.127	6.292	10.700	8.792	11.249	12.918	8.237
LOC100487499|rna8366|gene2520|Level=3	18.437	21.746	16.100	32.939	18.789	15.910	17.052	51.484	19.481
LOC100487502|rna8080|gene2433|Level=3	2.847	3.791	3.426	1.589	3.397	2.624	2.318	4.077	4.433
LOC100487503|rna30157|gene11043|Level=3	0.209	0.000	0.000	0.000	0.000	0.419	0.177	0.000	0.703
LOC100487519|rna46526|gene23132|Level=3	9.469	10.951	13.384	8.055	13.301	18.484	17.914	15.802	33.206
LOC100487522|rna23507|gene7272|Level=3	2.955	3.296	3.353	2.711	3.750	3.209	3.600	3.150	2.115
LOC100487535|rna44804|gene22010|Level=3	0.000	0.156	0.000	0.069	0.034	0.171	0.215	1.223	0.287
LOC100487545|rna62755|gene33232|Level=3	0.000	0.000	0.000	0.000	0.000	0.163	0.183	0.000	0.823
LOC100487547|rna46420|gene23054|Level=3	0.576	0.635	0.792	0.137	0.994	0.824	2.502	4.024	2.743
LOC100487565|rna2570|gene810|Level=3	0.712	1.061	0.000	0.000	0.000	0.000	0.000	0.560	1.825
LOC100487568|rna56386|gene29266|Level=3	4.736	3.334	3.410	6.040	4.521	3.721	3.473	3.594	3.270
LOC100487577|rna56611|gene29398|Level=3	1.264	1.231	0.724	1.098	0.914	1.234	1.313	1.379	0.794
LOC100487625|rna53294|gene27358|Level=3	5.644	13.325	11.852	10.382	11.357	10.214	9.812	9.040	11.645
LOC100487628|rna60867|gene32114|Level=3	2.715	2.141	2.539	1.238	3.133	2.802	4.297	4.059	3.087
LOC100487637|rna49451|gene24893|Level=3	46.007	44.958	17.740	11.043	2.964	5.065	8.083	3.346	7.936
LOC100487648|rna56974|gene29631|Level=3	0.051	0.137	0.135	0.186	0.176	0.235	0.409	0.386	0.133
LOC100487667|rna56381|gene29263|Level=3	6.219	5.160	1.151	1.465	1.701	3.169	4.997	5.385	3.593
LOC100487686|rna36279|gene16575|Level=3	1.081	1.507	1.427	2.125	3.643	3.015	3.314	5.478	5.047
LOC100487695|rna51732|gene26362|Level=3	0.793	0.804	0.518	1.441	0.805	0.864	2.562	2.149	1.737
LOC100487732|rna45025|gene22156|Level=3	2.370	8.063	5.615	4.502	51.767	3.036	7.653	37.239	20.324
LOC100487738|rna39648|gene18786|Level=3	1.525	1.923	1.490	1.617	3.473	2.418	3.425	3.465	3.221
LOC100487751|rna29594|gene10496|Level=3	21.600	25.249	17.654	14.519	18.176	21.915	26.837	27.473	19.683
LOC100487773|rna52091|gene26576|Level=3	0.169	0.293	0.228	0.130	0.322	0.270	0.214	0.206	0.096
LOC100487805|rna59193|gene31038|Level=3	2.123	1.910	0.845	1.377	1.423	2.167	2.967	2.964	2.253
LOC100487810|rna43095|gene20972|Level=3	1.026	1.377	4.162	1.367	1.623	1.221	5.303	1.695	2.676
LOC100487846|rna50316|gene25440|Level=3	0.364	0.556	0.320	0.253	0.307	0.680	0.483	1.039	0.993
LOC100487903|rna4890|gene1503|Level=3	0.643	1.172	1.045	0.686	1.746	1.441	1.996	1.637	1.066
LOC100487908|rna46472|gene23092|Level=3	16.334	18.015	17.199	19.948	11.199	16.404	15.643	15.184	14.837
LOC100487926|rna54722|gene28233|Level=3	1.786	2.663	3.132	3.129	4.074	3.322	4.718	5.603	3.919
LOC100487957|rna34814|gene15634|Level=3	0.036	0.000	0.067	0.000	0.167	0.217	0.490	0.647	0.735
LOC100487959|rna51074|gene25915|Level=3	4.084	4.075	3.047	4.592	5.215	4.553	5.920	6.090	5.721
LOC100487960|rna55602|gene28749|Level=3	0.472	0.492	0.666	0.337	0.331	0.638	0.295	1.134	0.663
LOC100487962|rna45486|gene22462|Level=3	6.571	5.489	4.661	6.183	7.355	6.319	8.848	9.208	8.177
LOC100488012|rna52619|gene26936|Level=3	0.422	1.082	1.359	2.071	1.063	2.224	4.967	2.709	2.674
LOC100488029|rna60220|gene31732|Level=3	1.915	1.952	2.388	1.341	3.186	1.608	0.718	0.420	0.337
LOC100488087|rna58640|gene30684|Level=3	7.756	7.301	9.164	3.704	12.114	4.489	0.958	0.877	0.622
LOC100488099|rna39304|gene18542|Level=3	0.000	0.094	0.414	0.000	0.053	0.144	0.000	0.025	0.324
LOC100488129|rna47896|gene23982|Level=3	9.094	6.212	10.859	6.326	10.690	10.265	10.738	8.677	10.571
LOC100488188|rna48211|gene24189|Level=3	1.040	0.619	1.123	0.485	1.408	0.663	0.190	0.084	0.139
LOC100488200|rna47137|gene23534|Level=3	15.257	22.188	59.275	32.724	31.349	26.719	17.573	10.650	13.628
LOC100488259|rna30303|gene11188|Level=3	1.263	2.527	3.172	6.850	3.521	2.667	5.525	5.645	10.748
LOC100488259|rna38578|gene18050|Level=3	0.342	0.559	1.032	1.650	0.874	0.427	1.408	2.628	2.195
LOC100488277|rna8885|gene2680|Level=3	76.147	84.856	72.959	80.970	80.040	88.396	69.367	64.788	77.867
LOC100488322|rna63827|gene33881|Level=3	9.186	21.440	48.359	65.967	40.008	25.615	45.731	30.995	0.104
LOC100488374|rna5785|gene1768|Level=3	15.247	21.033	19.100	17.648	20.876	19.075	24.741	23.790	21.747
LOC100488380|rna46933|gene23396|Level=3	2.736	3.044	4.633	4.148	13.928	10.219	12.934	18.642	16.371
LOC100488382|rna8770|gene2642|Level=3	7.893	6.718	7.508	9.086	10.329	8.809	11.351	11.866	8.206
LOC100488395|rna57711|gene30109|Level=3	1.635	2.548	0.993	0.901	1.064	1.056	1.549	1.393	1.423
LOC100488427|rna60172|gene31693|Level=3	0.332	1.486	4.521	2.098	1.044	0.298	0.252	0.320	2.284
LOC100488455|rna47856|gene23963|Level=3	6.072	7.198	8.122	5.663	9.033	9.570	12.252	7.318	27.920
LOC100488459|rna24191|gene7506|Level=3	0.116	0.077	0.073	0.180	0.073	0.078	0.236	0.142	0.066
LOC100488469|rna38764|gene18162|Level=3	1.083	1.393	0.926	1.182	0.738	1.540	1.796	2.680	1.523
LOC100488482|rna49998|gene25252|Level=3	3.703	10.475	23.059	32.811	17.017	9.704	24.599	18.535	0.674
LOC100488529|rna10175|gene3103|Level=3	29.272	43.425	38.526	48.775	35.087	40.739	49.024	47.661	34.877
LOC100488559|rna53496|gene27478|Level=3	8.685	7.756	8.418	13.475	9.784	14.255	16.407	10.271	12.106
LOC100488563|rna54877|gene28324|Level=3	2.424	3.392	2.406	2.940	2.755	2.925	4.291	4.790	4.197
LOC100488577|rna6971|gene2123|Level=3	7.386	6.825	8.379	6.746	5.272	4.680	4.684	4.070	2.542
LOC100488592|rna59674|gene31377|Level=3	15.693	11.897	10.919	11.015	12.797	15.229	14.351	19.704	11.200
LOC100488596|rna23561|gene7287|Level=3	2.190	0.648	0.829	1.290	0.956	1.200	1.177	1.330	1.926
LOC100488610|rna20953|gene6481|Level=3	9.895	11.312	8.852	13.127	9.777	10.998	13.023	13.562	13.530
LOC100488647|rna45195|gene22280|Level=3	0.082	0.000	0.000	0.000	0.309	0.912	0.785	1.089	1.074
LOC100488687|rna12106|gene3694|Level=3	36.481	59.733	40.105	29.461	33.375	34.864	48.196	45.138	44.003
LOC100488688|rna34135|gene14960|Level=3	0.539	0.838	0.798	0.780	0.532	0.818	0.580	1.888	1.324
LOC100488689|rna47194|gene23567|Level=3	16.107	11.367	13.117	10.552	16.086	17.593	23.020	21.229	16.866
LOC100488690|rna27145|gene8390|Level=3	8.823	13.394	20.990	22.977	13.992	20.349	36.761	22.910	104.159
LOC100488697|rna22128|gene6853|Level=3	0.570	3.304	4.384	5.497	7.867	39.210	34.340	68.183	72.890
LOC100488704|rna43756|gene21391|Level=3	0.011	0.017	0.043	0.039	0.057	0.724	0.190	0.223	0.845
LOC100488711|rna41932|gene20239|Level=3	16.446	17.718	10.877	9.663	8.401	10.265	21.344	33.254	31.712
LOC100488736|rna63915|gene33942|Level=3	3.188	3.450	4.124	2.073	5.391	3.233	0.935	0.174	0.284
LOC100488737|rna42251|gene20441|Level=3	4.695	4.870	3.149	2.536	5.958	5.828	8.415	8.620	6.338
LOC100488756|rna52854|gene27072|Level=3	10.649	14.733	9.785	10.848	9.568	11.529	14.113	14.293	10.400
LOC100488770|rna1920|gene617|Level=3	5.180	4.123	5.432	4.540	5.060	5.004	4.444	5.351	4.436
LOC100488775|rna44114|gene21577|Level=3	4.227	3.628	4.307	1.672	5.449	2.755	0.739	0.231	0.052
LOC100488805|rna23019|gene7136|Level=3	0.157	0.000	0.000	0.545	0.000	0.000	0.238	0.123	0.000
LOC100488860|rna58438|gene30544|Level=3	0.806	0.653	0.540	0.346	0.575	0.483	0.575	0.595	0.408
LOC100488892|rna40532|gene19376|Level=3	0.271	0.283	0.152	0.047	0.082	0.124	0.289	0.406	0.418
LOC100488909|rna60467|gene31884|Level=3	0.219	0.169	0.319	0.201	0.140	0.183	0.078	0.311	0.000
LOC100488941|rna34005|gene14832|Level=3	0.614	0.000	0.920	0.427	0.883	1.213	0.093	6.907	2.048
LOC100488945|rna34418|gene15242|Level=3	0.555	1.265	0.635	1.125	1.345	1.077	1.758	1.516	1.503
LOC100488960|rna48303|gene24242|Level=3	0.760	0.907	0.284	1.320	0.355	0.692	1.155	1.075	0.000
LOC100488971|rna38283|gene17856|Level=3	684.404	1042.420	1507.760	2170.110	1409.820	1244.590	609.125	35.421	120.380
